classification,215C,0.66,0.28,0.23,0.08,0.05
few shot,215F,0.97,0.95,0.96,0.45,0.9
classification,228C,0.19,0.1,0,0.35,0.16
few shot,228F,0.85,0.53,0.68,0.91,0.73
classification,230C,0,0.03,0.27,0.23,0
few shot,230F,0.75,0.58,0.7,0.91,0.74
classification,239C,0,0,0.36,0.16,0
few shot,239F,0.5,0.88,0.67,0.97,0.78
classification,302C,0.15,0.33,0.1,0.03,0.06
few shot,302F,0.8,0.94,0.89,0.46,0.42
